"","ceRNA","log_rank_p","cancer","sur_sig"
"272","HCG18-MIR193A-TGFB2",0.385058251083683,"BRCA","no_sig"
"273","HOTAIR-MIR221-ACTG1",0.357592847638248,"BRCA","no_sig"
"274","HOTAIR-MIR221-CASP3",0.291952798834377,"BRCA","no_sig"
"275","HOTAIR-MIR221-PSMD4",0.476789274126551,"BRCA","no_sig"
"276","HOTAIR-MIR221-TOR2A",0.0706316623527325,"BRCA","no_sig"
"277","IQCH-AS1-MIR9-1-CREB1",0.232836388582235,"BRCA","no_sig"
"278","IQCH-AS1-MIR9-1-IREB2",0.222044621463881,"BRCA","no_sig"
"279","IQCH-AS1-MIR9-1-JAK1",0.0870887157391256,"BRCA","no_sig"
"280","LIMD1-AS1-MIR193A-GDF11",0.0401863385140128,"BRCA","sig"
"281","LIMD1-AS1-MIR193A-KRAS",0.25524342490978,"BRCA","no_sig"
"282","LIMD1-AS1-MIR193A-MAPK8",0.449141161840602,"BRCA","no_sig"
"283","LIMD1-AS1-MIR193A-MAVS",0.0172463753101619,"BRCA","sig"
"284","LIMD1-AS1-MIR193A-PIK3R3",0.547575016989214,"BRCA","no_sig"
"285","LIMD1-AS1-MIR193A-PTK2",0.0101914524827993,"BRCA","sig"
"286","LIMD1-AS1-MIR193A-SEMA3D",0.1900562405009,"BRCA","no_sig"
"287","LIMD1-AS1-MIR193A-TCF7L2",0.0730220977365535,"BRCA","no_sig"
"288","LIMD1-AS1-MIR193A-TGFB2",0.60791881861063,"BRCA","no_sig"
"289","LINC00885-MIR3613-BIRC5",0.0276441958482676,"BRCA","sig"
"290","LINC00885-MIR3613-PAK3",0.0163043413912998,"BRCA","sig"
"291","LINC00885-MIR3613-PSMD11",0.00722374116450952,"BRCA","sig"
"292","LINC00885-MIR3613-S1PR2",0.00804149355247374,"BRCA","sig"
"293","LINC01140-MIR429-AVPR1A",0.322283468290801,"BRCA","no_sig"
"294","LINC01140-MIR429-MALT1",0.28901535627647,"BRCA","no_sig"
"295","LINC01356-MIR149-BID",0.0888062979964446,"BRCA","no_sig"
"296","LINC01356-MIR149-C3",0.027477574865895,"BRCA","sig"
"297","LINC01356-MIR149-CALR",0.614390730241253,"BRCA","no_sig"
"298","LINC01356-MIR149-GLP2R",0.0942891795124299,"BRCA","no_sig"
"299","LINC01356-MIR149-GPI",0.0772829980912861,"BRCA","no_sig"
"300","LINC01356-MIR149-IGF1",0.203091963391261,"BRCA","no_sig"
"301","LINC01356-MIR149-PDGFRA",0.270514892843616,"BRCA","no_sig"
"302","LINC01356-MIR149-PLCG2",0.0707357215873667,"BRCA","no_sig"
"303","LINC01356-MIR149-S1PR2",0.0348432395936428,"BRCA","sig"
"304","LINC01356-MIR149-ULBP3",0.685601050734905,"BRCA","no_sig"
"305","LINC01415-MIR93-BMPR2",0.719231906186691,"BRCA","no_sig"
"306","LINC01415-MIR93-CDC42",0.676330691452249,"BRCA","no_sig"
"307","LINC01415-MIR93-F2R",0.633047288230928,"BRCA","no_sig"
"308","LINC01415-MIR93-F2RL1",0.3378024790206,"BRCA","no_sig"
"309","LINC01415-MIR93-IFNAR1",0.0180297995147202,"BRCA","sig"
"310","LINC01415-MIR93-MAP2K1",0.00530851334475191,"BRCA","sig"
"311","LINC01415-MIR93-MAPK1",0.299162747299714,"BRCA","no_sig"
"312","LINC01415-MIR93-PPP3R1",0.723072003593054,"BRCA","no_sig"
"313","LINC01415-MIR93-TNFRSF21",0.0623293192459897,"BRCA","no_sig"
"314","LINC01415-MIR93-UBR1",0.0170491912464106,"BRCA","sig"
"315","LINC01503-MIR331-GPI",0.215503347905107,"BRCA","no_sig"
"316","LINC01503-MIR331-PSMC4",0.541793097406992,"BRCA","no_sig"
"317","LINC01503-MIR331-SOCS1",0.0422390070306999,"BRCA","sig"
"318","LINC01503-MIR342-ADM",0.656273603111193,"BRCA","no_sig"
"319","LINC01503-MIR342-BMP2",0.18039152055853,"BRCA","no_sig"
"320","LINC01503-MIR342-BMP7",0.0334675812406652,"BRCA","sig"
"321","LINC01503-MIR342-CALR",0.639919978125851,"BRCA","no_sig"
"322","LINC01503-MIR342-CRLF1",0.331647502729822,"BRCA","no_sig"
"323","LINC01503-MIR342-HDGF",0.579407615252062,"BRCA","no_sig"
"324","LINC01503-MIR342-IFNAR2",0.342668031548218,"BRCA","no_sig"
"325","LINC01503-MIR342-NDRG1",0.0158940158225457,"BRCA","sig"
"326","LINC01503-MIR342-PPIA",0.329678818789798,"BRCA","no_sig"
"327","LINC01503-MIR342-TFRC",0.576190300868596,"BRCA","no_sig"
"328","LINC01554-MIR149-C3",0.0421015620568407,"BRCA","sig"
"329","LINC01554-MIR149-HLA-A",0.111891020590943,"BRCA","no_sig"
"330","LINC01554-MIR149-PLCG2",0.197759491473818,"BRCA","no_sig"
"331","LINC01554-MIR149-ULBP3",0.508471760723828,"BRCA","no_sig"
"332","LINC01816-MIR326-ACTG1",0.354755126363483,"BRCA","no_sig"
"333","LINC01816-MIR326-HLA-C",0.725525471260055,"BRCA","no_sig"
"334","LINC01816-MIR625-CALR",0.655590254186988,"BRCA","no_sig"
"335","LINC01857-MIR141-BID",0.256350112614254,"BRCA","no_sig"
