gene	p.value	fdr	ratio	test_type
ATRNL1	0.000146562812972417	0.00055844404201045	0.498671095201039	t_test
ATXN1	1.52237130408357e-06	1.29636145160698e-05	0.446848266872168	t_test
ATXN2L	4.65276704207734e-06	3.17163949878058e-05	1.66972994625293	t_test
ATXN7L2	1.46069354327389e-07	2.09946858515762e-06	2.22705328104671	t_test
ATXN7L3	1.9192219688283e-05	0.000100778018585984	1.51464622894989	t_test
AUNIP	4.84134590394391e-08	8.80674341164644e-07	4.56433617384884	t_test
AUP1	8.01696617177011e-07	7.84849724305362e-06	1.88237112690824	t_test
AURKA	5.64483292905351e-08	9.88678606787011e-07	5.54822735264045	t_test
AURKAIP1	5.9979295260941e-05	0.000262148983877524	1.61890649827766	t_test
AURKB	1.18901816248092e-05	6.82248659932662e-05	5.15452105332648	t_test
AVL9	1.24918441906183e-05	7.10917240762957e-05	1.63202767503775	t_test
AVPI1	0.00292431883856489	0.00721112997489473	0.530906929148978	t_test
AVPR2	1.28011185073963e-08	3.22057653374463e-07	0.327934665290075	t_test
AXL	5.81757482189241e-06	3.81787281308959e-05	0.499712900092708	t_test
B3GALT2	4.61510489118119e-11	4.16158416714712e-09	0.403565376936009	t_test
B3GALT6	2.38614220681017e-05	0.000120068609855723	1.86521381641808	t_test
B3GAT2	0.0096249883426291	0.0199857557889316	0.28909570313296	t_test
